Block,Year,F_BA,I_BA,Q_BA,FM,IM,QM,SDM,Northing,Easting
1,1964,0,0,15.38202303,3,0,5,11,106909,433056
1,1984,0,0,17.61746255,0,0,5,8,106909,433056
1,1988,0,0,8.17226424,0,0,4,6,106909,433056
1,1996,0,0,6.909363628,0,0,3,5,106909,433056
1,2014,0,0,7.890305212,0,0,3,5,106909,433056
2,1964,14.64178526,0.502654825,12.88249338,3,1,1,12,106885,433058
2,1984,21.42328607,0.316692174,13.98668465,4,2,1,9,106885,433058
2,1988,22.11410266,0.259672268,14.08629278,4,2,1,9,106885,433058
2,1996,23.24083486,0.352565236,13.98668465,4,3,1,8,106885,433058
2,2014,30.09281743,1.204006631,14.71864946,4,3,1,8,106885,433058
3,1964,10.46346703,1.3685563,37.03937739,23,22,5,67,106868,433049
3,1984,13.98668465,0.541060795,38.46760431,1,3,5,9,106868,433049
3,1988,14.18625433,0,38.19137978,1,2,5,8,106868,433049
3,1996,13.98668465,0.204282062,29.39466509,1,4,4,9,106868,433049
3,2014,15.04511616,0.933891539,17.32580801,1,5,2,9,106868,433049
4,1964,37.46741938,1.941896959,33.77801151,7,8,5,30,106848,433053
4,1984,42.4273855,0.560793924,25.96512584,4,3,3,10,106848,433053
4,1988,42.04676192,0,23.11623144,4,2,2,8,106848,433053
4,1996,32.93154864,0,24.63326727,3,1,2,6,106848,433053
4,2014,4.718148288,0,29.76913633,1,0,2,3,106848,433053
5,1964,14.17250986,0,12.88249338,2,5,1,13,106828,433045
5,1984,16.80801157,0,14.18625433,2,0,1,3,106828,433045
5,1988,16.72572148,0,14.08629278,2,0,1,3,106828,433045
5,1996,7.330140694,0,0,1,0,0,1,106828,433045
5,2014,8.607099323,0,0,1,0,0,1,106828,433045
6,1964,37.16504109,0,0,7,21,0,30,106804,433046
6,1984,41.80008799,0,0,5,0,0,5,106804,433046
6,1988,41.9374934,0,0,5,0,0,5,106804,433046
6,1996,43.68633949,0,0,5,0,0,5,106804,433046
6,2014,47.67252562,0,0,5,1,0,6,106804,433046
7,1964,38.19194919,0,7.793113276,3,5,1,9,106786,433045
7,1984,7.1157859,0,0,1,0,0,1,106786,433045
7,1988,6.673704909,0,0,1,0,0,1,106786,433045
8,1964,36.58384645,1.498146997,23.50893053,2,7,3,12,106773,433044
8,1984,0,0.678210949,28.4615139,0,2,3,5,106773,433044
8,1988,0,0.851234164,30.35693492,0,2,3,5,106773,433044
8,1996,0,1.149842546,34.4473671,0,2,3,5,106773,433044
8,2014,0,1.835305468,16.9241885,0,2,2,4,106773,433044
9,1964,26.78993135,0.865901475,8.737554568,13,6,2,21,106752,433047
9,1984,30.91446944,0.241922269,4.19096314,11,1,1,13,106752,433047
9,1988,31.26281316,0.237582944,4.714352476,11,1,1,13,106752,433047
9,1996,22.70729426,0.316692174,5.147185404,10,1,1,12,106752,433047
9,2014,28.63704842,0.477663502,6.808847653,10,1,1,12,106752,433047
10,1964,32.16401829,0.331830724,0,3,5,0,8,106730,433046
10,1984,18.24668429,0,0,1,1,0,2,106730,433046
10,1988,18.78051942,0,0,1,0,0,1,106730,433046
10,1996,19.36102684,0,0,1,0,0,1,106730,433046
10,2014,20.88431037,0,0,1,0,0,1,106730,433046
11,1964,16.76825079,1.183987731,27.64012487,13,15,3,31,106707,433044
11,1984,13.33205528,0.41258929,13.65721012,10,5,1,16,106707,433044
11,1988,14.04364565,0,13.55913353,10,6,1,17,106707,433044
11,1996,6.699721223,0.241922269,14.62350512,7,4,1,12,106707,433044
11,2014,10.32905787,0.439466313,16.5011855,7,3,1,11,106707,433044
12,1964,29.42886918,0.96211275,5.939573611,12,17,1,30,106687,433042
12,1984,31.59307309,0.88950269,6.95126462,9,10,1,20,106687,433042
12,1988,30.70971614,0.250718729,6.424242817,8,9,1,18,106687,433042
12,1996,34.10785911,0,7.330140694,8,4,1,13,106687,433042
12,2014,42.19724753,0.66094085,7.60367647,8,3,1,12,106687,433042
13,1964,30.56867827,0.237582944,11.34114948,19,4,1,24,106666,433035
13,1984,28.03258833,0.516497467,11.64156428,9,2,1,12,106666,433035
13,1988,27.25763596,0,11.2517908,7,0,1,8,106666,433035
13,1996,22.05776997,0,11.85419119,6,0,1,7,106666,433035
13,2014,30.12146559,0,12.18654471,6,0,1,7,106666,433035
14,1964,20.40317166,0.237582944,16.8487541,23,2,2,27,106647,433038
14,1984,24.4628555,0.610450723,19.2523081,14,2,2,18,106647,433038
14,1988,22.98342061,0.282743339,19.75441315,12,1,2,15,106647,433038
14,1996,19.71027377,0.441786467,19.97024056,9,1,2,12,106647,433038
14,2014,26.55420653,0.704310491,20.87993263,10,3,2,15,106647,433038
15,1964,22.0132379,0,37.11202672,10,9,2,21,106624,433036
15,1984,20.33073832,0.733679694,37.54998437,5,10,2,17,106624,433036
15,1988,1.844468317,0.66077511,38.2203806,2,7,2,11,106624,433036
15,1996,1.474113813,0.613867205,39.14591343,1,5,2,8,106624,433036
15,2014,1.683859352,1.063353437,40.95263007,1,2,2,5,106624,433036
16,1964,39.99541972,1.080413349,0,11,11,0,22,106602,433034
16,1984,14.41437322,0.854984441,0,6,6,0,12,106602,433034
16,1988,15.78567842,1.007822923,0,6,2,0,8,106602,433034
16,1996,18.12190416,0.496391274,0,5,1,0,6,106602,433034
16,2014,23.49733798,0,0,5,0,0,5,106602,433034
17,1964,52.96528864,0.471729772,0,7,11,0,18,106585,433028
17,1984,48.45072183,0.733031741,0,6,7,0,13,106585,433028
17,1988,46.08351213,0.453645979,0,5,7,0,12,106585,433028
17,1996,27.07781905,0,0,4,0,0,4,106585,433028
17,2014,28.40343537,0,0,4,8,0,12,106585,433028
18,1964,25.7959118,0.237582944,9.759063054,16,7,1,25,106571,433031
18,1984,26.70862301,0.241922269,10.34911306,9,5,1,15,106571,433031
18,1988,26.80764208,0.259672268,10.34911306,9,4,1,14,106571,433031
18,1996,31.48663201,0,10.81029886,9,2,1,12,106571,433031
18,2014,32.94950195,0.350936901,11.94159368,8,1,1,10,106571,433031
19,1964,25.29914746,1.506000978,2.611939767,13,12,2,28,106550,433024
19,1984,27.29680769,1.671209482,3.259598728,10,8,2,21,106550,433024
19,1988,27.00016281,1.647117393,3.495198542,10,8,2,21,106550,433024
19,1996,28.18579987,2.513902441,4.307221703,9,7,2,18,106550,433024
19,2014,33.12601514,3.253921739,5.478909909,8,6,2,16,106550,433024
20,1964,13.58100687,1.822614613,15.55284713,7,11,1,19,106531,433028
20,1984,18.68042043,0.204282062,14.93010493,7,9,1,17,106531,433028
20,1988,20.0357624,0.229022104,15.30915772,7,6,1,14,106531,433028
20,1996,23.71786607,0,15.83370551,7,1,1,9,106531,433028
20,2014,29.33553605,0.250718729,16.21594811,7,1,1,9,106531,433028
21,1964,14.51464893,1.824578108,56.55652175,23,9,3,35,106506,433029
21,1984,21.00013317,2.248634212,52.24362554,18,11,3,32,106506,433029
21,1988,21.97002136,2.11268179,51.11632392,17,10,3,30,106506,433029
21,1996,25.98947318,2.361810087,48.03599233,17,8,2,27,106506,433029
21,2014,32.3828597,1.392555659,49.69840284,15,6,2,23,106506,433029
22,1964,20.46943963,2.915790682,16.98227179,15,15,1,31,106486,433024
22,1984,26.52101102,2.874184214,0,10,8,0,18,106486,433024
22,1988,27.41436216,3.378115311,0,9,6,0,15,106486,433024
22,1996,21.20586822,1.874765051,0,6,2,0,8,106486,433024
22,2014,26.00641603,1.757866429,0,6,1,0,7,106486,433024
23,1964,21.75651087,0.667588439,12.56637061,14,4,1,19,106473,433024
23,1984,34.42091881,0.441786467,13.55913353,12,3,1,16,106473,433024
23,1988,35.21373899,0.453645979,13.98668465,11,3,1,15,106473,433024
23,1996,36.31009592,0.259672268,14.28656931,10,1,1,12,106473,433024
23,2014,33.88637696,0,15.93320108,7,0,1,8,106473,433024
24,1964,9.591675071,1.959568418,39.91589816,14,6,2,22,106451,433021
24,1984,11.40321557,2.309365125,40.42809557,11,5,2,18,106451,433021
24,1988,12.42598069,0.418538681,40.8003743,11,2,2,15,106451,433021
24,1996,14.2012947,0,41.03982257,10,1,2,13,106451,433021
24,2014,17.48436455,0,0,9,3,0,12,106451,433021
27,1964,11.71863147,0.331830724,6.834927517,15,13,1,32,106384,433009
27,1984,13.3294831,0.96238764,7.793113276,11,6,1,21,106384,433009
27,1988,12.17704874,0.993783931,7.54767635,10,5,1,18,106384,433009
27,1996,14.14070123,1.182966714,7.867510117,10,5,1,18,106384,433009
27,2014,17.93288375,2.129741407,8.607100278,9,4,1,16,106384,433009
28,1964,11.39759997,1.237002107,49.33282214,17,29,4,50,106367,433016
28,1984,14.72482148,2.300941729,52.47362939,12,20,4,36,106367,433016
28,1988,11.88639252,2.402847141,47.9525045,11,14,3,28,106367,433016
28,1996,8.256458923,1.967834733,50.84630403,6,12,3,21,106367,433016
28,2014,9.696514909,1.177348691,53.56822153,4,9,3,16,106367,433016
29,1964,9.173450549,0.520326283,15.90431281,18,12,1,31,106349,433018
29,1984,12.5532152,0.477836243,18.13329243,14,4,1,19,106349,433018
29,1988,6.294711025,0.483981983,19.59570381,8,4,1,13,106349,433018
29,1996,5.772440882,0,20.22842057,6,1,1,8,106349,433018
29,2014,9.00230094,0.458366236,18.50673573,6,1,1,8,106349,433018
30,1964,37.77961515,0.454058313,11.34114948,15,18,1,34,106333,433009
30,1984,11.32021862,0.941338969,12.44102107,7,10,1,18,106333,433009
30,1988,5.765843537,0,12.40978186,6,3,1,10,106333,433009
30,1996,6.146447487,0,0,5,2,0,7,106333,433009
30,2014,9.16150562,0,0,5,0,0,5,106333,433009
31,1964,43.08301625,0.644517368,9.34820164,14,11,1,26,106309,433012
31,1984,45.27410041,1.528561541,12.44102107,10,12,1,23,106309,433012
31,1988,27.16815947,1.629583379,12.03797437,9,13,1,23,106309,433012
31,1996,1.807711683,2.239503958,0,5,11,0,18,106309,433012
31,2014,5.366754417,0.601804629,9.893270207,5,7,1,19,106309,433012
32,1964,36.41253148,0,0,13,14,0,27,106291,433008
32,1984,41.38304156,0,0,10,0,0,10,106291,433008
32,1988,24.82861542,0,0,9,0,0,9,106291,433008
32,1996,18.97066432,0,0,7,0,0,7,106291,433008
32,2014,26.15681648,0,0,7,0,0,7,106291,433008
33,1964,47.30011352,2.338523032,14.18625433,12,13,1,26,106269,433004
33,1984,56.58569929,2.434852116,16.94577041,12,7,1,20,106269,433004
33,1988,43.87591497,1.540951197,0,11,3,0,14,106269,433004
33,1996,43.20328035,1.50957454,0,7,3,0,10,106269,433004
33,2014,47.99342176,0,0,5,6,0,11,106269,433004
34,1964,33.49330468,7.073001335,0,8,32,0,40,106252,433005
34,1984,1.606060704,4.424579823,0,3,19,0,22,106252,433005
34,1988,0.204282062,2.117688703,0,2,9,0,11,106252,433005
34,1996,2.333123419,3.245795355,0,2,9,0,11,106252,433005
34,2014,4.762164577,3.84622788,0,2,5,0,7,106252,433005
35,1964,65.97148223,2.55107141,0,13,25,0,38,106234,433001
35,1984,69.45160113,3.519997489,0,8,14,0,22,106234,433001
35,1988,38.99821931,1.89212235,0,6,6,0,12,106234,433001
35,1996,41.49397905,1.253593644,0,6,3,0,9,106234,433001
35,2014,47.07176544,0,0,5,0,0,5,106234,433001
36,1964,37.09828225,2.002765317,0.441786467,6,20,1,27,106215,432996
36,1984,37.90510215,1.8604119,0,6,13,0,19,106215,432996
36,1988,14.28965199,0.724549441,0,4,7,0,11,106215,432996
36,1996,15.84079373,0.368528453,0,2,4,0,6,106215,432996
36,2014,20.53496653,0.39395822,0,2,2,0,4,106215,432996
37,1964,14.61822332,2.142173491,11.35489395,6,19,5,30,106188,433001
37,1984,15.00383418,2.344256438,11.68207119,6,15,4,25,106188,433001
37,1988,15.60065824,2.099820895,11.91674816,6,14,4,24,106188,433001
37,1996,17.23550379,2.070309559,13.52970073,6,10,4,20,106188,433001
37,2014,21.4985005,1.394197301,11.03122805,6,5,2,13,106188,433001
38,1964,25.77873122,1.447096116,27.37308949,11,6,5,22,106178,433001
38,1984,26.01338855,0.779743297,27.46594319,9,3,5,17,106178,433001
38,1988,26.45584261,0.785889037,28.02284939,9,3,5,17,106178,433001
38,1996,29.00243725,1.018897037,30.03878976,9,3,5,17,106178,433001
38,2014,19.05029959,0.601804629,34.02772472,8,1,5,14,106178,433001
39,1964,28.26255291,2.146100482,11.49822911,6,3,7,16,106150,432994
39,1984,24.19299269,2.041838875,9.841353147,3,4,5,12,106150,432994
39,1988,24.71610714,2.143528303,7.216886279,3,4,3,10,106150,432994
39,1996,26.01376162,2.248005893,7.855336446,3,5,3,11,106150,432994
39,2014,17.79053848,2.576917472,7.100100956,2,5,2,9,106150,432994
40,1964,22.27389191,0,13.0435,7,0,5,12,106125,432991
40,1984,24.05154248,0,14.06834643,6,2,4,12,106125,432991
40,1988,19.63020243,0,14.00751734,4,4,4,12,106125,432991
40,1996,20.66117496,0,15.38596966,4,4,4,12,106125,432991
40,2014,25.71347049,0.272353896,17.27408069,4,3,3,10,106125,432991
41,1964,11.85754877,1.315541924,12.64650086,11,4,8,24,106110,433000
41,1984,15.61408855,0.208307228,10.68386939,10,2,4,17,106110,433000
41,1988,9.665463228,0.208307228,10.03238161,7,3,4,14,106110,433000
41,1996,9.814531799,0.241922269,11.67818347,5,5,4,14,106110,433000
41,2014,12.02601946,0.564403217,12.41508028,5,9,3,17,106110,433000
42,1964,18.06612125,1.101520924,37.03741389,16,15,4,36,106089,432997
42,1984,17.94624986,0.496391274,29.50886199,11,7,3,22,106089,432997
42,1988,18.65528769,0.483981983,17.98328138,11,7,2,21,106089,432997
42,1996,21.23121695,0.541060795,19.06658107,11,6,2,20,106089,432997
42,2014,36.09514743,0.789607461,20.30518658,13,5,2,21,106089,432997
43,1964,25.54703876,3.212278488,44.41819313,18,47,4,69,106072,432991
43,1984,24.27812985,3.264409291,29.27860288,13,28,3,44,106072,432991
43,1988,23.57739761,3.29072013,30.49492938,12,27,3,42,106072,432991
43,1996,24.22114922,3.325768523,32.3447384,11,25,3,39,106072,432991
43,2014,27.38121535,5.43912018,34.72303287,11,21,3,35,106072,432991
46,1964,23.56587189,2.157881454,18.8574099,8,16,1,25,106012,432982
46,1984,24.95649788,1.384440978,18.51263974,7,9,1,17,106012,432982
46,1988,24.86344783,1.151118818,0,7,6,0,13,106012,432982
46,1996,26.39727154,1.687840288,0,7,6,0,13,106012,432982
46,2014,27.54574177,0,0,6,2,0,8,106012,432982
47,1964,16.61472508,4.256858046,50.01022805,4,19,4,27,105993,432978
47,1984,18.60109521,4.015151761,52.68470515,4,18,4,26,105993,432978
47,1988,18.45687647,3.682731988,42.09912834,3,15,3,21,105993,432978
47,1996,19.4901463,3.65202292,43.39061744,3,11,3,17,105993,432978
47,2014,8.191903864,3.29490521,16.38679188,2,6,1,9,105993,432978
48,1964,26.37956081,2.012582794,45.63163329,16,19,4,39,105971,432979
48,1984,25.33641461,1.910363223,44.37754878,10,20,3,33,105971,432979
48,1988,25.5491397,0.925905895,16.81054448,10,19,2,31,105971,432979
48,1996,26.8709059,1.797737126,17.81675734,10,18,2,30,105971,432979
48,2014,16.75065987,0.216649666,18.29167761,8,13,2,23,105971,432979
49,1964,15.9946336,0,47.71097493,18,11,13,42,105954,432979
49,1984,18.80806726,0,50.77304602,11,17,10,38,105954,432979
49,1988,19.36281362,0,54.47073984,11,17,10,38,105954,432979
49,1996,20.54383647,0,45.21635401,10,18,9,37,105954,432979
49,2014,22.28358101,0.558832794,47.61826318,8,13,8,29,105954,432979
50,1964,12.42107195,2.744966581,27.13157955,26,13,6,45,105929,432973
50,1984,13.480417,3.687012408,31.47284827,18,13,5,36,105929,432973
50,1988,13.278982,3.79308043,30.97307978,14,13,4,31,105929,432973
50,1996,15.54911649,4.27419571,32.25274864,14,14,4,32,105929,432973
50,2014,20.97811247,3.968328225,34.13605625,14,14,4,32,105929,432973
52,1964,18.5157617,1.451023107,41.69678849,13,27,3,43,105975,433091
52,1999,5.811043201,1.65907508,17.907569,2,9,1,13,105975,433091
52,2014,7.610440098,1.545891806,18.87259125,2,4,1,7,105975,433091
53,1964,30.26335473,3.467532891,14.18625433,3,47,1,51,105976,433113
53,1999,0,1.823557091,27.21220068,0,16,2,18,105976,433113
53,2014,0,3.900290407,28.05523669,0,16,2,18,105976,433113
54,1964,33.1830724,3.489131341,19.242255,2,19,2,23,105972,433133
54,1999,0,2.958378897,22.97839407,0,17,2,19,105972,433133
54,2014,0,4.341149852,25.85974157,0,12,2,14,105972,433133
55,1964,16.19687362,4.688827036,39.98854749,2,38,3,43,105964,433154
55,1999,0,5.490168782,38.47999397,0,13,2,15,105964,433154
55,2014,0,7.033554799,42.09474552,0,12,2,14,105964,433154
56,1964,31.74579376,3.496985323,16.98227179,3,27,1,31,105960,433174
56,1999,0,1.286796351,20.74990532,0,2,1,4,105960,433174
56,2014,0,1.795466798,22.7281041,0,4,1,7,105960,433174
57,1964,12.615458,3.049308369,14.52201204,2,14,1,17,105960,433191
57,1999,15.99323952,2.763875042,0,2,8,0,10,105960,433191
57,2014,17.89065724,2.734580112,0,2,6,0,8,105960,433191
58,1964,27.77167906,1.906554042,0,2,11,0,13,105950,433212
58,1999,0,1.074149798,0,0,6,0,6,105950,433212
58,2014,0,2.008386438,0,0,3,0,3,105950,433212
60,1964,20.3575204,3.530364745,14.52201204,2,23,1,26,105939,433249
60,1999,0,0.615143477,15.37858691,0,2,1,6,105939,433249
60,2014,0,0.974823849,0,0,2,0,6,105939,433249
61,1964,47.4262681,3.952516257,5.073672136,8,32,3,43,105935,433264
61,1999,18.12270919,1.438731626,10.86704388,4,10,3,17,105935,433264
61,2014,24.6913973,1.849977393,15.8580469,4,6,3,14,105935,433264
62,1964,11.28224462,1.869247629,8.981027998,2,23,3,28,105928,433286
62,1999,0,0.794528417,19.12312974,0,2,3,6,105928,433286
62,2014,0,1.112741562,24.79678894,0,2,3,9,105928,433286
63,1964,25.658958,2.876520773,30.65458119,5,37,2,44,105923,433305
63,1999,9.621127502,2.318730998,31.29882367,1,11,2,14,105923,433305
63,2014,10.52411951,4.734609773,22.99790572,1,10,1,13,105923,433305
64,1964,44.12476838,1.747510914,10.54053423,7,34,2,43,105916,433326
64,1999,15.62569281,1.605118227,12.3295338,4,7,2,13,105916,433326
64,2014,18.35842414,2.672510084,14.29549409,4,4,2,12,105916,433326
65,1964,29.69786805,2.876520773,1.038689071,5,62,1,68,105914,433343
65,1999,0.985203456,0.546401502,2.391557043,1,8,1,10,105914,433343
65,2014,1.225941071,1.851965968,0,1,7,0,8,105914,433343
66,1964,14.65160274,2.843141352,56.74501731,7,35,2,44,105906,433363
66,1999,3.661565508,0.477679163,12.03797437,3,3,1,9,105906,433363
66,2014,4.523183567,0.919915379,13.9708199,3,2,1,7,105906,433363
67,1964,5.986697501,0.918915851,4.029092578,3,13,3,20,105902,433383
67,1999,13.24491536,3.976078202,11.26928555,3,14,2,19,105902,433383
67,2014,14.31922119,4.722723714,15.53118534,3,8,2,13,105902,433383
